Product,Channel,gps_request_id,Plan_type,Plan_State,miningpassing,subscription_period,sales_code,OrderCat_OnPaymentType,FilterStatus,gps_request_status,Couponcode,gps_plan_id,order_created_at,Payment_month,Payment_Date,collection,RelayPrice_incl_gst,paid_status
GPS,Market,1080965,NON- AIS,,NON-AIS,ANNUAL,806636,Regular,ACTIVE,ACTIVE,,257,2025-04-29T17:40:04,202504,29-04-2025,3400.0,0.0,Paid
GPS,Market,1085862,NON- AIS,,NON-AIS,ANNUAL,130572,PayLater,ACTIVE,ACTIVE,,257,2025-05-06T15:16:03,202505,10-05-2025,3599.0,0.0,Paid
GPS,Market,1106254,NON- AIS,,NON-AIS,ANNUAL,459475,PayLater,ACTIVE,ACTIVE,,257,2025-06-02T12:11:48,202506,02-06-2025,3400.0,0.0,Paid
GPS,Market,1048152,NON- AIS,,NON-AIS,ANNUAL,66856,PayLater,ACTIVE,ACTIVE,,257,2025-03-23T20:39:04,202504,03-04-2025,3400.0,0.0,Paid
GPS,Market,1059351,NON- AIS,,NON-AIS,ANNUAL,639623,PayLater,ACTIVE,ACTIVE,,257,2025-04-07T12:45:39,202504,07-04-2025,3699.0,300.0,Paid
GPS,Tele,1101969,NON- AIS,,NON-AIS,ANNUAL,817460,PayLater,ACTIVE,ACTIVE,,257,2025-05-27T16:45:11,202505,27-05-2025,3400.0,0.0,Paid
GPS,Market,1108614,NON- AIS,,NON-AIS,ANNUAL,868628,PayLater,ACTIVE,ACTIVE,,257,2025-06-04T17:03:57,202506,11-06-2025,2500.0,0.0,Paid
GPS,Market,1091636,NON- AIS,,NON-AIS,ANNUAL,206075,PayLater,ACTIVE,ACTIVE,,257,2025-05-14T09:55:15,202505,14-05-2025,3699.0,300.0,Paid
GPS,Market,1034455,NON- AIS,,NON-AIS,ANNUAL,550691,Regular,ACTIVE,ACTIVE,,257,2025-03-06T14:35:30,202503,06-03-2025,3400.0,0.0,Paid
GPS,Market,1110073,NON- AIS,,NON-AIS,ANNUAL,258736,PayLater,ACTIVE,ACTIVE,,257,2025-06-06T12:34:54,202506,06-06-2025,3400.0,0.0,Paid
GPS,Tele,990085,NON- AIS,,NON-AIS,ANNUAL,612379,Regular,ACTIVE,ACTIVE,,257,2025-01-09T11:46:04,202503,19-03-2025,4799.0,0.0,Paid
GPS,Market,1123333,NON- AIS,,NON-AIS,ANNUAL,118138,PayLater,ACTIVE,ACTIVE,,257,2025-06-22T13:36:21,202506,24-06-2025,3500.0,0.0,Paid
GPS,Market,1110407,NON- AIS,,NON-AIS,ANNUAL,711983,PayLater,ACTIVE,ACTIVE,,257,2025-06-06T16:18:40,202506,06-06-2025,3400.0,0.0,Paid
GPS,Market,1031103,NON- AIS,,NON-AIS,ANNUAL,459577,Regular,ACTIVE,ACTIVE,,257,2025-03-02T12:23:55,202503,02-03-2025,3449.0,0.0,Paid
GPS,Market,1040589,NON- AIS,,NON-AIS,ANNUAL,81766,PayLater,ACTIVE,ACTIVE,,257,2025-03-13T20:20:17,202503,15-03-2025,3299.0,0.0,Paid
GPS,Market,1094753,NON- AIS,,NON-AIS,ANNUAL,77681,Regular,ACTIVE,ACTIVE,,257,2025-05-17T17:42:02,202505,17-05-2025,3400.0,0.0,Paid
GPS,Market,1037164,NON- AIS,,NON-AIS,ANNUAL,785129,PayLater,ACTIVE,ACTIVE,,257,2025-03-09T19:10:54,202503,09-03-2025,3449.0,0.0,Paid
GPS,Market,1048665,NON- AIS,,NON-AIS,ANNUAL,649263,Regular,ACTIVE,ACTIVE,,257,2025-03-24T15:17:29,202503,24-03-2025,3599.0,0.0,Paid
GPS,Market,1129538,NON- AIS,,NON-AIS,ANNUAL,921959,Regular,ACTIVE,ACTIVE,,257,2025-06-30T05:47:16,202506,30-06-2025,3000.0,0.0,Paid
GPS,Market,1084946,NON- AIS,,NON-AIS,ANNUAL,552162,Regular,ACTIVE,ACTIVE,,257,2025-05-05T14:03:59,202505,05-05-2025,3299.0,0.0,Paid
GPS,Market,1036608,NON- AIS,,NON-AIS,ANNUAL,854252,PayLater,ACTIVE,ACTIVE,,257,2025-03-08T17:41:49,202503,28-03-2025,3400.0,0.0,Paid
GPS,Tele,1051842,NON- AIS,,NON-AIS,ANNUAL,456262,PayLater,ACTIVE,ACTIVE,,257,2025-03-28T11:22:39,202503,28-03-2025,3299.0,0.0,Paid
GPS,Market,1071988,NON- AIS,,NON-AIS,ANNUAL,417912,Regular,ACTIVE,ACTIVE,,257,2025-04-19T15:36:02,202504,19-04-2025,3800.0,0.0,Paid
GPS,Market,1091479,NON- AIS,,NON-AIS,ANNUAL,885904,Regular,ACTIVE,ACTIVE,,257,2025-05-13T19:03:39,202505,13-05-2025,3400.0,0.0,Paid
GPS,Toll,1075426,NON- AIS,,NON-AIS,ANNUAL,892594,Regular,ACTIVE,ACTIVE,,257,2025-04-23T14:48:24,202504,23-04-2025,3400.0,0.0,Paid
GPS,Market,1055922,NON- AIS,,NON-AIS,ANNUAL,22272,PayLater,ACTIVE,ACTIVE,,257,2025-04-02T20:43:01,202504,12-04-2025,3400.0,0.0,Paid
GPS,Market,1128402,NON- AIS,,NON-AIS,ANNUAL,396675,Regular,ACTIVE,ACTIVE,,257,2025-06-28T12:21:23,202506,28-06-2025,3400.0,0.0,Paid
GPS,Market,1055021,NON- AIS,,NON-AIS,ANNUAL,12654,Regular,ACTIVE,ACTIVE,,257,2025-04-01T19:31:42,202504,01-04-2025,3400.0,0.0,Paid
GPS,Market,1110131,NON- AIS,,NON-AIS,ANNUAL,540127,PayLater,ACTIVE,ACTIVE,,257,2025-06-06T13:08:31,202506,06-06-2025,2500.0,0.0,Paid
GPS,Market,1042466,NON- AIS,,NON-AIS,ANNUAL,482059,Regular,ACTIVE,ACTIVE,,257,2025-03-17T14:09:40,202503,17-03-2025,3000.0,0.0,Paid
GPS,Market,1045294,NON- AIS,,NON-AIS,ANNUAL,66642,Regular,ACTIVE,ACTIVE,,257,2025-03-20T13:57:22,202503,20-03-2025,3400.0,0.0,Paid
GPS,Market,1050273,NON- AIS,,NON-AIS,ANNUAL,59921,PayLater,ACTIVE,ACTIVE,,257,2025-03-26T13:37:43,202503,28-03-2025,3449.0,0.0,Paid
GPS,Market,1097346,NON- AIS,,NON-AIS,ANNUAL,421298,PayLater,ACTIVE,ACTIVE,,257,2025-05-21T16:03:55,202505,22-05-2025,3100.0,0.0,Paid
GPS,Market,1105711,NON- AIS,,NON-AIS,ANNUAL,78473,PayLater,ACTIVE,ACTIVE,,257,2025-06-01T11:15:15,202506,02-06-2025,3400.0,0.0,Paid
GPS,Market,1086940,NON- AIS,,NON-AIS,ANNUAL,369131,Regular,ACTIVE,ACTIVE,,257,2025-05-07T19:38:26,202505,07-05-2025,3599.0,0.0,Paid
GPS,Market,1122307,NON- AIS,,NON-AIS,ANNUAL,643023,Regular,ACTIVE,ACTIVE,,257,2025-06-21T12:05:51,202506,21-06-2025,3100.0,0.0,Paid
GPS,Market,1067671,NON- AIS,,NON-AIS,ANNUAL,919974,PayLater,ACTIVE,ACTIVE,,257,2025-04-16T08:56:40,202504,16-04-2025,3400.0,0.0,Paid
GPS,Tele,1057586,NON- AIS,,NON-AIS,ANNUAL,786892,PayLater,ACTIVE,ACTIVE,,257,2025-04-04T17:14:50,202504,04-04-2025,3400.0,0.0,Paid
GPS,Market,1090468,NON- AIS,,NON-AIS,ANNUAL,64943,PayLater,ACTIVE,ACTIVE,,257,2025-05-12T16:54:14,202505,14-05-2025,3000.0,0.0,Paid
GPS,Tele,1074993,NON- AIS,,NON-AIS,ANNUAL,846646,PayLater,ACTIVE,ACTIVE,,257,2025-04-23T10:18:58,202504,23-04-2025,3400.0,0.0,Paid
GPS,Market,1055875,NON- AIS,,NON-AIS,ANNUAL,893912,PayLater,ACTIVE,ACTIVE,,257,2025-04-02T19:09:43,202504,03-04-2025,3400.0,0.0,Paid
GPS,Market,1098697,NON- AIS,,NON-AIS,ANNUAL,68738,Regular,ACTIVE,ACTIVE,,257,2025-05-23T11:54:16,202505,23-05-2025,3400.0,0.0,Paid
GPS,Market,1098846,NON- AIS,,NON-AIS,ANNUAL,35827,Regular,ACTIVE,ACTIVE,,257,2025-05-23T13:11:20,202505,23-05-2025,2950.0,300.0,Paid
GPS,Market,1109444,NON- AIS,,NON-AIS,ANNUAL,294509,PayLater,ACTIVE,ACTIVE,,257,2025-06-05T15:55:42,202506,21-06-2025,3299.0,0.0,Paid
GPS,Market,1104646,NON- AIS,,NON-AIS,ANNUAL,204448,PayLater,ACTIVE,ACTIVE,,257,2025-05-30T19:22:50,202505,30-05-2025,3000.0,0.0,Paid
GPS,Market,1041225,NON- AIS,,NON-AIS,ANNUAL,561036,PayLater,ACTIVE,ACTIVE,,257,2025-03-15T13:08:10,202503,26-03-2025,3500.0,0.0,Paid
GPS,Market,1123417,NON- AIS,,NON-AIS,ANNUAL,709443,PayLater,ACTIVE,ACTIVE,,257,2025-06-22T16:54:12,202506,22-06-2025,3400.0,0.0,Paid
GPS,Market,1045956,NON- AIS,,NON-AIS,ANNUAL,144173,Regular,ACTIVE,ACTIVE,,257,2025-03-21T11:42:00,202503,21-03-2025,3400.0,0.0,Paid
GPS,Market,1058323,NON- AIS,,NON-AIS,ANNUAL,721218,PayLater,ACTIVE,ACTIVE,,257,2025-04-05T14:51:01,202504,05-04-2025,3699.0,300.0,Paid
GPS,Market,1047096,NON- AIS,,NON-AIS,ANNUAL,59723,PayLater,ACTIVE,ACTIVE,,257,2025-03-22T13:04:19,202503,22-03-2025,3599.0,0.0,Paid
GPS,Market,1030321,NON- AIS,,NON-AIS,ANNUAL,524269,PayLater,ACTIVE,ACTIVE,,257,2025-03-01T12:32:38,202503,01-03-2025,3400.0,0.0,Paid
GPS,Tele,1088136,NON- AIS,,NON-AIS,ANNUAL,576769,PayLater,ACTIVE,ACTIVE,,257,2025-05-09T13:48:40,202505,09-05-2025,2650.0,0.0,Paid
GPS,Tele,1085752,NON- AIS,,NON-AIS,ANNUAL,652673,Regular,ACTIVE,ACTIVE,,257,2025-05-06T13:46:10,202505,06-05-2025,3500.0,0.0,Paid
GPS,Market,1032528,NON- AIS,,NON-AIS,ANNUAL,416430,Regular,ACTIVE,ACTIVE,,257,2025-03-04T12:53:27,202503,04-03-2025,3400.0,0.0,Paid
GPS,Market,1046376,NON- AIS,,NON-AIS,ANNUAL,361612,PayLater,ACTIVE,ACTIVE,,257,2025-03-21T15:56:53,202503,22-03-2025,3299.0,0.0,Paid
GPS,Tele,1107711,NON- AIS,,NON-AIS,ANNUAL,231250,PayLater,ACTIVE,ACTIVE,,257,2025-06-03T17:54:04,202506,03-06-2025,3400.0,0.0,Paid
GPS,Market,1037298,NON- AIS,,NON-AIS,ANNUAL,34064,Regular,ACTIVE,ACTIVE,,257,2025-03-10T10:49:25,202503,10-03-2025,3400.0,0.0,Paid
GPS,Market,1116828,NON- AIS,,NON-AIS,ANNUAL,914816,PayLater,ACTIVE,ACTIVE,,257,2025-06-14T15:41:46,202506,23-06-2025,3400.0,0.0,Paid
GPS,Tele,1039947,NON- AIS,,NON-AIS,ANNUAL,627793,PayLater,ACTIVE,ACTIVE,,257,2025-03-13T11:38:39,202503,13-03-2025,3299.0,0.0,Paid
GPS,Market,1120352,NON- AIS,,NON-AIS,ANNUAL,459577,Regular,ACTIVE,ACTIVE,,257,2025-06-19T11:47:05,202506,19-06-2025,3599.0,0.0,Paid
GPS,Market,1086789,NON- AIS,,NON-AIS,ANNUAL,74236,PayLater,ACTIVE,ACTIVE,,257,2025-05-07T16:56:34,202505,28-05-2025,3000.0,0.0,Paid
GPS,Tele,1073471,NON- AIS,,NON-AIS,ANNUAL,645734,PayLater,ACTIVE,ACTIVE,,257,2025-04-21T14:39:40,202504,21-04-2025,3299.0,0.0,Paid
GPS,Market,1108976,NON- AIS,,NON-AIS,ANNUAL,684854,PayLater,ACTIVE,ACTIVE,,257,2025-06-05T10:51:33,202506,30-06-2025,2650.0,0.0,Paid
GPS,Toll,1116468,NON- AIS,,NON-AIS,ANNUAL,267398,Regular,ACTIVE,ACTIVE,,257,2025-06-14T11:59:28,202506,14-06-2025,3400.0,0.0,Paid
GPS,Tele,1085181,NON- AIS,,NON-AIS,ANNUAL,645734,PayLater,ACTIVE,ACTIVE,,257,2025-05-05T17:38:27,202505,05-05-2025,3299.0,0.0,Paid
GPS,Tele,1087248,NON- AIS,,NON-AIS,ANNUAL,594168,PayLater,ACTIVE,ACTIVE,,257,2025-05-08T12:25:03,202505,08-05-2025,2650.0,0.0,Paid
GPS,Market,1100566,NON- AIS,,NON-AIS,ANNUAL,325804,PayLater,ACTIVE,ACTIVE,,257,2025-05-26T09:18:54,202505,27-05-2025,3400.0,0.0,Paid
GPS,Toll,1113983,NON- AIS,,NON-AIS,ANNUAL,666793,Regular,ACTIVE,ACTIVE,,257,2025-06-11T14:01:14,202506,11-06-2025,3400.0,0.0,Paid
GPS,Market,1046264,NON- AIS,,NON-AIS,ANNUAL,588193,Regular,ACTIVE,ACTIVE,,257,2025-03-21T14:45:32,202503,21-03-2025,3000.0,0.0,Paid
GPS,Market,1089300,NON- AIS,,NON-AIS,ANNUAL,27135,PayLater,ACTIVE,ACTIVE,,257,2025-05-10T17:22:13,202505,17-05-2025,3400.0,0.0,Paid
GPS,Market,1090509,NON- AIS,,NON-AIS,ANNUAL,318730,PayLater,ACTIVE,ACTIVE,,257,2025-05-12T17:23:51,202505,27-05-2025,3699.0,300.0,Paid
GPS,Market,1043076,NON- AIS,,NON-AIS,ANNUAL,823310,PayLater,ACTIVE,ACTIVE,,257,2025-03-18T10:27:05,202503,18-03-2025,3599.0,0.0,Paid
GPS,Market,1112375,NON- AIS,,NON-AIS,ANNUAL,19158,Regular,ACTIVE,ACTIVE,,257,2025-06-09T18:24:44,202506,09-06-2025,3400.0,0.0,Paid
GPS,Market,1125012,NON- AIS,,NON-AIS,ANNUAL,780263,Regular,ACTIVE,ACTIVE,,257,2025-06-24T15:31:27,202506,24-06-2025,3500.0,0.0,Paid
GPS,Market,1036940,NON- AIS,,NON-AIS,ANNUAL,348590,PayLater,ACTIVE,ACTIVE,,257,2025-03-09T12:20:48,202503,11-03-2025,3400.0,0.0,Paid
GPS,Market,1076426,NON- AIS,,NON-AIS,ANNUAL,518621,PayLater,ACTIVE,ACTIVE,,257,2025-04-24T13:27:55,202504,26-04-2025,3400.0,0.0,Paid
GPS,Market,1080754,NON- AIS,,NON-AIS,ANNUAL,375799,Regular,ACTIVE,ACTIVE,,257,2025-04-29T14:41:49,202504,29-04-2025,3299.0,0.0,Paid
GPS,Market,1125385,NON- AIS,,NON-AIS,ANNUAL,894121,Regular,ACTIVE,ACTIVE,,257,2025-06-24T19:56:42,202506,24-06-2025,3400.0,0.0,Paid
GPS,Market,1110556,NON- AIS,,NON-AIS,ANNUAL,865051,PayLater,ACTIVE,ACTIVE,,257,2025-06-06T18:26:47,202506,11-06-2025,3400.0,0.0,Paid
GPS,Toll,1075596,NON- AIS,,NON-AIS,ANNUAL,56143,Regular,ACTIVE,ACTIVE,,257,2025-04-23T16:28:29,202504,23-04-2025,3400.0,0.0,Paid
GPS,Market,1035912,NON- AIS,,NON-AIS,ANNUAL,455373,Regular,ACTIVE,ACTIVE,,257,2025-03-08T11:16:36,202503,08-03-2025,3400.0,0.0,Paid
GPS,Market,1126697,NON- AIS,,NON-AIS,ANNUAL,658532,PayLater,ACTIVE,ACTIVE,,257,2025-06-26T13:22:08,202506,26-06-2025,3400.0,0.0,Paid
GPS,Market,1048120,NON- AIS,,NON-AIS,ANNUAL,130572,PayLater,ACTIVE,ACTIVE,,257,2025-03-23T18:29:03,202503,27-03-2025,3400.0,0.0,Paid
GPS,Market,1104536,NON- AIS,,NON-AIS,ANNUAL,869205,PayLater,ACTIVE,ACTIVE,,257,2025-05-30T17:59:49,202505,30-05-2025,3400.0,0.0,Paid
GPS,Market,1051288,NON- AIS,,NON-AIS,ANNUAL,281082,Regular,ACTIVE,ACTIVE,,257,2025-03-27T14:43:43,202503,27-03-2025,2650.0,0.0,Paid
GPS,Market,1050260,NON- AIS,,NON-AIS,ANNUAL,885904,PayLater,ACTIVE,ACTIVE,,257,2025-03-26T13:27:25,202503,26-03-2025,3400.0,0.0,Paid
GPS,Market,1078937,NON- AIS,,NON-AIS,ANNUAL,28603,Pay999,ACTIVE,ACTIVE,,257,2025-04-26T22:50:08,202504,28-04-2025,3400.0,0.0,Paid
GPS,Market,1043311,NON- AIS,,NON-AIS,ANNUAL,61491,Regular,ACTIVE,ACTIVE,,257,2025-03-18T12:53:51,202503,18-03-2025,3400.0,0.0,Paid
GPS,Market,1104745,NON- AIS,,NON-AIS,ANNUAL,204448,PayLater,ACTIVE,ACTIVE,,257,2025-05-31T08:41:25,202505,31-05-2025,3000.0,0.0,Paid
GPS,Market,1071753,NON- AIS,,NON-AIS,ANNUAL,78157,Regular,ACTIVE,ACTIVE,,257,2025-04-19T13:20:35,202504,19-04-2025,3400.0,0.0,Paid
GPS,Market,1050148,NON- AIS,,NON-AIS,ANNUAL,718751,Regular,ACTIVE,ACTIVE,,257,2025-03-26T12:15:20,202503,26-03-2025,3400.0,0.0,Paid
GPS,Market,1057601,NON- AIS,,NON-AIS,ANNUAL,863937,Regular,ACTIVE,ACTIVE,,257,2025-04-04T17:27:16,202504,04-04-2025,3400.0,0.0,Paid
GPS,Market,1032554,NON- AIS,,NON-AIS,ANNUAL,266245,PayLater,ACTIVE,ACTIVE,,257,2025-03-04T13:06:52,202503,04-03-2025,3599.0,0.0,Paid
GPS,Market,1071949,NON- AIS,,NON-AIS,ANNUAL,593081,PayLater,ACTIVE,ACTIVE,,257,2025-04-19T15:10:44,202504,28-04-2025,3400.0,0.0,Paid
GPS,Market,1052635,NON- AIS,,NON-AIS,ANNUAL,84643,PayLater,ACTIVE,ACTIVE,,257,2025-03-29T10:45:54,202503,29-03-2025,3500.0,0.0,Paid
GPS,Market,1079853,NON- AIS,,NON-AIS,ANNUAL,507736,Regular,ACTIVE,ACTIVE,,257,2025-04-28T14:19:27,202504,28-04-2025,3699.0,300.0,Paid
GPS,Market,1042796,NON- AIS,,NON-AIS,ANNUAL,647517,PayLater,ACTIVE,ACTIVE,,257,2025-03-17T17:31:11,202503,17-03-2025,3500.0,0.0,Paid
GPS,Market,1098650,NON- AIS,,NON-AIS,ANNUAL,27786,PayLater,ACTIVE,ACTIVE,,257,2025-05-23T11:21:01,202505,23-05-2025,3400.0,0.0,Paid
GPS,Market,1033155,NON- AIS,,NON-AIS,ANNUAL,425890,PayLater,ACTIVE,ACTIVE,,257,2025-03-05T09:17:57,202503,06-03-2025,3899.0,300.0,Paid
GPS,Market,1030597,NON- AIS,,NON-AIS,ANNUAL,70427,PayLater,ACTIVE,ACTIVE,,257,2025-03-01T14:53:26,202503,01-03-2025,3400.0,0.0,Paid
GPS,Market,1052433,NON- AIS,,NON-AIS,ANNUAL,885904,Regular,ACTIVE,ACTIVE,,257,2025-03-28T18:14:15,202503,28-03-2025,3400.0,0.0,Paid
GPS,Tele,1072913,NON- AIS,,NON-AIS,ANNUAL,817460,Regular,ACTIVE,ACTIVE,,257,2025-04-20T19:27:39,202504,20-04-2025,3800.0,300.0,Paid
GPS,Market,1085502,NON- AIS,,NON-AIS,ANNUAL,352764,PayLater,ACTIVE,ACTIVE,,257,2025-05-06T11:33:53,202505,06-05-2025,3400.0,0.0,Paid
GPS,Market,1123790,NON- AIS,,NON-AIS,ANNUAL,666901,PayLater,ACTIVE,ACTIVE,,257,2025-06-23T12:54:28,202506,24-06-2025,3000.0,0.0,Paid
GPS,Market,1104325,NON- AIS,,NON-AIS,ANNUAL,754135,Regular,ACTIVE,ACTIVE,,257,2025-05-30T15:08:38,202505,30-05-2025,2400.0,0.0,Paid
GPS,Market,1030252,NON- AIS,,NON-AIS,ANNUAL,497101,Regular,ACTIVE,ACTIVE,,257,2025-03-01T12:06:58,202503,01-03-2025,3100.0,0.0,Paid
GPS,Market,1076922,NON- AIS,,NON-AIS,ANNUAL,178628,PayLater,ACTIVE,ACTIVE,,257,2025-04-24T21:03:38,202504,26-04-2025,3400.0,0.0,Paid
GPS,Market,1046042,NON- AIS,,NON-AIS,ANNUAL,34591,PayLater,ACTIVE,ACTIVE,,257,2025-03-21T12:25:50,202503,23-03-2025,3500.0,0.0,Paid
GPS,Market,1091067,NON- AIS,,NON-AIS,ANNUAL,450601,Regular,ACTIVE,ACTIVE,,257,2025-05-13T14:25:35,202505,13-05-2025,3400.0,0.0,Paid
GPS,Market,1089052,NON- AIS,,NON-AIS,ANNUAL,246902,PayLater,ACTIVE,ACTIVE,,257,2025-05-10T14:25:17,202505,12-05-2025,3400.0,300.0,Paid
GPS,Market,1095889,NON- AIS,,NON-AIS,ANNUAL,367933,PayLater,ACTIVE,ACTIVE,,257,2025-05-19T18:27:45,202505,19-05-2025,3599.0,0.0,Paid
GPS,Market,1042408,NON- AIS,,NON-AIS,ANNUAL,329518,PayLater,ACTIVE,ACTIVE,,257,2025-03-17T13:34:15,202503,18-03-2025,3400.0,0.0,Paid
GPS,Market,1049195,NON- AIS,,NON-AIS,ANNUAL,570910,PayLater,ACTIVE,ACTIVE,,257,2025-03-25T11:22:54,202503,26-03-2025,3800.0,0.0,Paid
GPS,Market,1069652,NON- AIS,,NON-AIS,ANNUAL,252867,Regular,ACTIVE,ACTIVE,,257,2025-04-17T16:26:49,202504,17-04-2025,3299.0,0.0,Paid
GPS,Market,1125374,NON- AIS,,NON-AIS,ANNUAL,810672,PayLater,ACTIVE,ACTIVE,,257,2025-06-24T19:49:10,202506,26-06-2025,3699.0,300.0,Paid
GPS,Market,1125402,NON- AIS,,NON-AIS,ANNUAL,718530,PayLater,ACTIVE,ACTIVE,,257,2025-06-24T20:31:45,202507,01-07-2025,3599.0,0.0,Paid
GPS,Market,1042059,NON- AIS,,NON-AIS,ANNUAL,800997,PayLater,ACTIVE,ACTIVE,,257,2025-03-16T22:11:10,202503,17-03-2025,3400.0,0.0,Paid
